,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
10191,"{""$oid"": ""52cdef7e4bab8bd67529a557""}",Playtech,software,,2000.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10192,"{""$oid"": ""52cdef7e4bab8bd67529a558""}",Mayfair Gaming Group,mobile,3.0,2008.0,Alderney,,Invalid lat long,Invalid lat long,250.0
10193,"{""$oid"": ""52cdef7e4bab8bd67529a55d""}",SMA Informatics,consulting,12.0,2001.0,Richmond,,Invalid lat long,Invalid lat long,125.0
10194,"{""$oid"": ""52cdef7e4bab8bd67529a55c""}",LetsCram,web,5.0,2007.0,Santa Barbara,"{'type': 'Point', 'coordinates': [-119.688412, 34.420316]}",34.420316,-119.688412,655.0
10195,"{""$oid"": ""52cdef7e4bab8bd67529a55f""}",The Bid Zone,web,7.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10196,"{""$oid"": ""52cdef7e4bab8bd67529a562""}",Hire'm,software,,2007.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10197,"{""$oid"": ""52cdef7e4bab8bd67529a560""}",Revelation,analytics,12.0,2007.0,Portland,"{'type': 'Point', 'coordinates': [-122.655545, 45.504407]}",45.504407,-122.655545,2370.0
10198,"{""$oid"": ""52cdef7e4bab8bd67529a561""}",OpenMethods,software,,2003.0,Westwood,"{'type': 'Point', 'coordinates': [-94.590409, 39.0412926]}",39.0412926,-94.590409,0.0
10199,"{""$oid"": ""52cdef7e4bab8bd67529a556""}",Cecure Gaming,,,,London,,Invalid lat long,Invalid lat long,0.0
10200,"{""$oid"": ""52cdef7e4bab8bd67529a555""}",Probability PLC,mobile,40.0,2003.0,London,,Invalid lat long,Invalid lat long,0.0
10200,"{""$oid"": ""52cdef7e4bab8bd67529a555""}",Probability PLC,mobile,40.0,2003.0,NoCity,,Invalid lat long,Invalid lat long,0.0
10201,"{""$oid"": ""52cdef7e4bab8bd67529a565""}",knowledgewhere,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10202,"{""$oid"": ""52cdef7e4bab8bd67529a564""}","Leo Burnett, Sydney",,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10203,"{""$oid"": ""52cdef7e4bab8bd67529a563""}",PostMapper,web,1.0,2008.0,Roswell,"{'type': 'Point', 'coordinates': [-84.377834, 34.018504]}",34.018504,-84.377834,0.0
10204,"{""$oid"": ""52cdef7e4bab8bd67529a567""}",Blackplanet,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10205,"{""$oid"": ""52cdef7e4bab8bd67529a566""}",WellCare Health Plans,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10206,"{""$oid"": ""52cdef7e4bab8bd67529a568""}",Friendzbook,hardware,2.0,2007.0,Syracuse,"{'type': 'Point', 'coordinates': [-112.0924765, 41.0938671]}",41.0938671,-112.0924765,0.0
10207,"{""$oid"": ""52cdef7e4bab8bd67529a56b""}",Life Tips,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10208,"{""$oid"": ""52cdef7e4bab8bd67529a569""}",wePapers,web,4.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10209,"{""$oid"": ""52cdef7e4bab8bd67529a56e""}",Gigantic Music,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10210,"{""$oid"": ""52cdef7e4bab8bd67529a56d""}",Messenger Records,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10211,"{""$oid"": ""52cdef7e4bab8bd67529a56c""}",Blog Media Publishing,other,20.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10212,"{""$oid"": ""52cdef7e4bab8bd67529a56a""}",Cardwell Beach,other,,,Brooklyn,,Invalid lat long,Invalid lat long,0.0
10213,"{""$oid"": ""52cdef7e4bab8bd67529a56f""}",Liquid Fusion,other,1.0,2000.0,New York City,,Invalid lat long,Invalid lat long,0.0
10214,"{""$oid"": ""52cdef7e4bab8bd67529a570""}",MadWaves,games_video,8.0,1998.0,Sophia Antipolis,"{'type': 'Point', 'coordinates': [7.0524451, 43.6273729]}",43.6273729,7.0524451,0.0
10215,"{""$oid"": ""52cdef7e4bab8bd67529a571""}",Neurotic,web,3.0,2004.0,Barcelona,"{'type': 'Point', 'coordinates': [2.1756189, 41.3887383]}",41.3887383,2.1756189,0.0
10216,"{""$oid"": ""52cdef7e4bab8bd67529a573""}",Nylvi,ecommerce,4.0,2008.0,Lillehammer,"{'type': 'Point', 'coordinates': [10.5077091, 61.1026207]}",61.1026207,10.5077091,0.0
10216,"{""$oid"": ""52cdef7e4bab8bd67529a573""}",Nylvi,ecommerce,4.0,2008.0,Berlin,"{'type': 'Point', 'coordinates': [13.4101097, 52.5297341]}",52.5297341,13.4101097,0.0
10217,"{""$oid"": ""52cdef7e4bab8bd67529a572""}",InfoBuild,software,30.0,1986.0,Espoo,"{'type': 'Point', 'coordinates': [24.8531076, 60.2842964]}",60.2842964,24.8531076,0.0
10217,"{""$oid"": ""52cdef7e4bab8bd67529a572""}",InfoBuild,software,30.0,1986.0,Oslo,"{'type': 'Point', 'coordinates': [10.7392751, 59.9128507]}",59.9128507,10.7392751,0.0
10217,"{""$oid"": ""52cdef7e4bab8bd67529a572""}",InfoBuild,software,30.0,1986.0,Tallinn,"{'type': 'Point', 'coordinates': [24.8021233, 59.42145]}",59.42145,24.8021233,0.0
10217,"{""$oid"": ""52cdef7e4bab8bd67529a572""}",InfoBuild,software,30.0,1986.0,Riga,"{'type': 'Point', 'coordinates': [24.1081498, 56.9582533]}",56.9582533,24.1081498,0.0
10217,"{""$oid"": ""52cdef7e4bab8bd67529a572""}",InfoBuild,software,30.0,1986.0,Vilnius,"{'type': 'Point', 'coordinates': [25.2701999, 54.7126768]}",54.7126768,25.2701999,0.0
10218,"{""$oid"": ""52cdef7e4bab8bd67529a575""}",BeatPick,games_video,,2007.0,London,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,0.0
10218,"{""$oid"": ""52cdef7e4bab8bd67529a575""}",BeatPick,games_video,,2007.0,Roma,"{'type': 'Point', 'coordinates': [12.4823243, 41.8954656]}",41.8954656,12.4823243,0.0
10219,"{""$oid"": ""52cdef7e4bab8bd67529a577""}",echolibre,security,4.0,2008.0,Dublin,"{'type': 'Point', 'coordinates': [-6.2653994, 53.3441678]}",53.3441678,-6.2653994,0.0
10220,"{""$oid"": ""52cdef7e4bab8bd67529a574""}",BookingBug,software,20.0,2009.0,London,,Invalid lat long,Invalid lat long,350.0
10221,"{""$oid"": ""52cdef7e4bab8bd67529a578""}",Gitchers,other,,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10222,"{""$oid"": ""52cdef7e4bab8bd67529a576""}",LiveWebStars,other,6.0,,Galway,"{'type': 'Point', 'coordinates': [-9.0517799, 53.2737969]}",53.2737969,-9.0517799,0.0
10223,"{""$oid"": ""52cdef7e4bab8bd67529a579""}",ePolitix,,,,London,,Invalid lat long,Invalid lat long,0.0
10224,"{""$oid"": ""52cdef7e4bab8bd67529a57a""}",MessageSpace,advertising,25.0,2006.0,London,"{'type': 'Point', 'coordinates': [-0.1096216, 51.5220744]}",51.5220744,-0.1096216,0.0
10225,"{""$oid"": ""52cdef7e4bab8bd67529a57c""}",Central Solutions,consulting,5.0,2005.0,Limerick,,Invalid lat long,Invalid lat long,0.0
10226,"{""$oid"": ""52cdef7e4bab8bd67529a57b""}",NETCRAW  IT,consulting,5.0,2003.0,SÃ£o Paulo,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}",-23.5489433,-46.6388182,0.0
10227,"{""$oid"": ""52cdef7e4bab8bd67529a57d""}",Immobilio,web,,2008.0,Paris,"{'type': 'Point', 'coordinates': [2.331507, 48.84441]}",48.84441,2.331507,0.0
10228,"{""$oid"": ""52cdef7e4bab8bd67529a57f""}",The Card and Gift Company,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10229,"{""$oid"": ""52cdef7e4bab8bd67529a57e""}",Best Before Media,news,9.0,2002.0,London,,Invalid lat long,Invalid lat long,1050.0
10230,"{""$oid"": ""52cdef7e4bab8bd67529a580""}",Just Another Dot Com,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10231,"{""$oid"": ""52cdef7e4bab8bd67529a581""}",Meytel,public_relations,15.0,1996.0,Madrid,"{'type': 'Point', 'coordinates': [-3.6096649, 40.4511364]}",40.4511364,-3.6096649,0.0
10232,"{""$oid"": ""52cdef7e4bab8bd67529a582""}",Zeraphina,web,8.0,2002.0,Dublin,"{'type': 'Point', 'coordinates': [-6.1345865, 53.4445927]}",53.4445927,-6.1345865,0.0
10233,"{""$oid"": ""52cdef7e4bab8bd67529a583""}",Call Genie,mobile,,2000.0,Calgary,,Invalid lat long,Invalid lat long,0.0
10234,"{""$oid"": ""52cdef7e4bab8bd67529a584""}",RateIntegration,mobile,,1999.0,Durham,,Invalid lat long,Invalid lat long,0.0
10235,"{""$oid"": ""52cdef7e4bab8bd67529a586""}",Prime Network,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10236,"{""$oid"": ""52cdef7e4bab8bd67529a585""}",Intertech,,,,Eagan,,Invalid lat long,Invalid lat long,0.0
10237,"{""$oid"": ""52cdef7e4bab8bd67529a587""}",Broadband Comparison Limited,web,2.0,2008.0,London,,Invalid lat long,Invalid lat long,0.0
10238,"{""$oid"": ""52cdef7e4bab8bd67529a588""}",p3 Technologies,consulting,,2004.0,Brooklyn,"{'type': 'Point', 'coordinates': [-71.9638445, 41.785272]}",41.785272,-71.9638445,0.0
10239,"{""$oid"": ""52cdef7e4bab8bd67529a589""}",Agentka,web,,2008.0,Prague,"{'type': 'Point', 'coordinates': [14.4496124, 50.0809075]}",50.0809075,14.4496124,0.0
10240,"{""$oid"": ""52cdef7e4bab8bd67529a58a""}",Monster India,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10241,"{""$oid"": ""52cdef7e4bab8bd67529a58b""}",Workosaur,web,1.0,2008.0,Mumbai,,Invalid lat long,Invalid lat long,0.0
10242,"{""$oid"": ""52cdef7e4bab8bd67529a58d""}",Near-Time,web,,2003.0,Chapel Hill,,Invalid lat long,Invalid lat long,0.0
10243,"{""$oid"": ""52cdef7e4bab8bd67529a58e""}",Webnetix,consulting,,,Katwijk,"{'type': 'Point', 'coordinates': [4.4343522, 52.1990014]}",52.1990014,4.4343522,0.0
10244,"{""$oid"": ""52cdef7e4bab8bd67529a58c""}",Canpages,search,400.0,2006.0,British Columbia,"{'type': 'Point', 'coordinates': [-122.9153695, 49.2599284]}",49.2599284,-122.9153695,110000.0
10245,"{""$oid"": ""52cdef7e4bab8bd67529a58f""}",Blyck,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10246,"{""$oid"": ""52cdef7e4bab8bd67529a590""}",MotionApps,software,,2003.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.3963738, 37.7845627]}",37.7845627,-122.3963738,0.0
10247,"{""$oid"": ""52cdef7e4bab8bd67529a591""}",SamKnows Limited,web,10.0,2003.0,London,,Invalid lat long,Invalid lat long,0.0
10248,"{""$oid"": ""52cdef7e4bab8bd67529a592""}",Wanajob,other,10.0,2007.0,Paris,"{'type': 'Point', 'coordinates': [2.2876814, 48.8453049]}",48.8453049,2.2876814,0.0
10249,"{""$oid"": ""52cdef7e4bab8bd67529a593""}",Book a Lesson,games_video,2.0,2006.0,Minneapolis,"{'type': 'Point', 'coordinates': [-93.34806, 44.923088]}",44.923088,-93.34806,0.0
10250,"{""$oid"": ""52cdef7e4bab8bd67529a594""}",iPixCel,software,,2000.0,OKC,"{'type': 'Point', 'coordinates': [-97.661876, 35.570706]}",35.570706,-97.661876,0.0
10251,"{""$oid"": ""52cdef7e4bab8bd67529a596""}",Masstech Group,games_video,,2001.0,Richmond Hill,,Invalid lat long,Invalid lat long,0.0
10252,"{""$oid"": ""52cdef7e4bab8bd67529a595""}",Volicon,software,50.0,2004.0,Burlington,,Invalid lat long,Invalid lat long,0.0
10253,"{""$oid"": ""52cdef7e4bab8bd67529a597""}",SnapStream Media,software,20.0,2000.0,Houston,"{'type': 'Point', 'coordinates': [-95.308391, 29.685897]}",29.685897,-95.308391,0.0
10254,"{""$oid"": ""52cdef7e4bab8bd67529a599""}",shopotainment,ecommerce,3.0,,Berlin,"{'type': 'Point', 'coordinates': [13.295232, 52.450364]}",52.450364,13.295232,0.0
10255,"{""$oid"": ""52cdef7e4bab8bd67529a59c""}",Gaozhishang,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10256,"{""$oid"": ""52cdef7e4bab8bd67529a59a""}",Weblin,software,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10257,"{""$oid"": ""52cdef7e4bab8bd67529a59b""}",Club Beautiful,,,,Beijing,,Invalid lat long,Invalid lat long,0.0
10258,"{""$oid"": ""52cdef7e4bab8bd67529a598""}",Digiprove,public_relations,4.0,2006.0,Dublin,"{'type': 'Point', 'coordinates': [-6.1071512, 53.2781561]}",53.2781561,-6.1071512,0.0
10259,"{""$oid"": ""52cdef7e4bab8bd67529a59d""}",BloggerInsight,consulting,,2008.0,Shanghai,,Invalid lat long,Invalid lat long,0.0
10260,"{""$oid"": ""52cdef7e4bab8bd67529a59f""}",Fatfoogoo,,,,Vienna,,Invalid lat long,Invalid lat long,0.0
10261,"{""$oid"": ""52cdef7e4bab8bd67529a59e""}",SpinnakerPro,web,,2002.0,Limerick,,Invalid lat long,Invalid lat long,0.0
10262,"{""$oid"": ""52cdef7e4bab8bd67529a5a1""}",Enjoble,web,2.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10263,"{""$oid"": ""52cdef7e4bab8bd67529a5a0""}",Editor,web,11.0,2004.0,Solkan,"{'type': 'Point', 'coordinates': [13.6409647, 45.9689988]}",45.9689988,13.6409647,0.0
10264,"{""$oid"": ""52cdef7e4bab8bd67529a5a2""}",acruw,public_relations,2.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10265,"{""$oid"": ""52cdef7e4bab8bd67529a5a3""}",Cloudworks,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10266,"{""$oid"": ""52cdef7e4bab8bd67529a5a6""}",Bluefrog Interactive,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10267,"{""$oid"": ""52cdef7e4bab8bd67529a5a5""}",Koalog,software,,2002.0,Paris,"{'type': 'Point', 'coordinates': [2.34882, 48.8769437]}",48.8769437,2.34882,0.0
10268,"{""$oid"": ""52cdef7e4bab8bd67529a5a4""}",Hit Systems,enterprise,5.0,2008.0,Altamonte Springs,"{'type': 'Point', 'coordinates': [-81.392794, 28.66677]}",28.66677,-81.392794,125.0
10269,"{""$oid"": ""52cdef7e4bab8bd67529a5a8""}",Ethervision,consulting,5.0,2008.0,Evanston,"{'type': 'Point', 'coordinates': [-87.720068, 42.062669]}",42.062669,-87.720068,0.0
10270,"{""$oid"": ""52cdef7e4bab8bd67529a5aa""}",Jake,network_hosting,2.0,2002.0,London,"{'type': 'Point', 'coordinates': [-0.1535555, 51.3264445]}",51.3264445,-0.1535555,0.0
10271,"{""$oid"": ""52cdef7e4bab8bd67529a5a9""}",Slideflickr,web,1.0,2007.0,Heraklion,,Invalid lat long,Invalid lat long,0.0
10272,"{""$oid"": ""52cdef7e4bab8bd67529a5ab""}",Epispeed,,,2003.0,ZÃ¼rich,,Invalid lat long,Invalid lat long,0.0
10273,"{""$oid"": ""52cdef7e4bab8bd67529a5ac""}",Visonys,software,,2002.0,NoCity,,Invalid lat long,Invalid lat long,1320.0
10274,"{""$oid"": ""52cdef7e4bab8bd67529a5a7""}",mobiManage,mobile,15.0,2008.0,Tulsa,"{'type': 'Point', 'coordinates': [-95.9550264, 36.0463849]}",36.0463849,-95.9550264,350.0
10274,"{""$oid"": ""52cdef7e4bab8bd67529a5a7""}",mobiManage,mobile,15.0,2008.0,Scottsdale,"{'type': 'Point', 'coordinates': [-111.9315649, 33.502612]}",33.502612,-111.9315649,350.0
10275,"{""$oid"": ""52cdef7e4bab8bd67529a5ae""}",Parx,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10276,"{""$oid"": ""52cdef7e4bab8bd67529a5af""}",COS AG,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10277,"{""$oid"": ""52cdef7e4bab8bd67529a5b0""}",Sonic Emotion,hardware,,,ZÃ¼rich,,Invalid lat long,Invalid lat long,0.0
10278,"{""$oid"": ""52cdef7e4bab8bd67529a5b3""}",TravelGuru,web,,,Mumbai,,Invalid lat long,Invalid lat long,0.0
10279,"{""$oid"": ""52cdef7e4bab8bd67529a5b2""}",AVA systems,consulting,10.0,1995.0,Co. Sligo,"{'type': 'Point', 'coordinates': [-8.4965135, 54.2745651]}",54.2745651,-8.4965135,0.0
10279,"{""$oid"": ""52cdef7e4bab8bd67529a5b2""}",AVA systems,consulting,10.0,1995.0,Co. Westmeath,,Invalid lat long,Invalid lat long,0.0
10280,"{""$oid"": ""52cdef7e4bab8bd67529a5b5""}",Genuitec,software,25.0,1997.0,Flower Mound,"{'type': 'Point', 'coordinates': [-97.0622309, 33.0726655]}",33.0726655,-97.0622309,0.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Muenchen,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Montreal,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Sydney,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Vienna,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Amsterdam,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Sao Paulo,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,NoCity,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,London,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Hong Kong,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Milan,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Tokyo,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,NoCity,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Gliwice,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Zug,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Boston,,Invalid lat long,Invalid lat long,30000.0
10281,"{""$oid"": ""52cdef7e4bab8bd67529a5ad""}",hybris,enterprise,,1997.0,Chicago,,Invalid lat long,Invalid lat long,30000.0
10282,"{""$oid"": ""52cdef7e4bab8bd67529a5b4""}",ResponseTek,software,,1999.0,Vancouver,"{'type': 'Point', 'coordinates': [-123.1139351, 49.2852526]}",49.2852526,-123.1139351,0.0
10282,"{""$oid"": ""52cdef7e4bab8bd67529a5b4""}",ResponseTek,software,,1999.0,Toronto,"{'type': 'Point', 'coordinates': [-79.386755, 43.670233]}",43.670233,-79.386755,0.0
10282,"{""$oid"": ""52cdef7e4bab8bd67529a5b4""}",ResponseTek,software,,1999.0,London,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,0.0
10283,"{""$oid"": ""52cdef7e4bab8bd67529a5b1""}",Nexthink,software,,2004.0,Lausanne,,Invalid lat long,Invalid lat long,12200.0
10284,"{""$oid"": ""52cdef7e4bab8bd67529a5b9""}",World Financial Symposiums,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10285,"{""$oid"": ""52cdef7e4bab8bd67529a5b7""}",TrekTrac,web,4.0,2007.0,Irvine,"{'type': 'Point', 'coordinates': [-117.79967, 33.696853]}",33.696853,-117.79967,0.0
10286,"{""$oid"": ""52cdef7e4bab8bd67529a5b8""}",easyTXTR,advertising,6.0,2008.0,Columbus,"{'type': 'Point', 'coordinates': [-83.0044572, 39.9807652]}",39.9807652,-83.0044572,0.0
10287,"{""$oid"": ""52cdef7e4bab8bd67529a5bb""}",Edwards Information,other,5.0,1990.0,Ashton,"{'type': 'Point', 'coordinates': [-77.004626, 39.1539265]}",39.1539265,-77.004626,0.0
10288,"{""$oid"": ""52cdef7e4bab8bd67529a5bc""}",Mix2r,games_video,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10289,"{""$oid"": ""52cdef7e4bab8bd67529a5b6""}",Zumbox,web,25.0,2006.0,Los Angeles,,Invalid lat long,Invalid lat long,28300.0
10290,"{""$oid"": ""52cdef7e4bab8bd67529a5ba""}",CrownPeak,software,,2001.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.3767176, 34.0240159]}",34.0240159,-118.3767176,10300.0
10291,"{""$oid"": ""52cdef7e4bab8bd67529a5bd""}",MixMatchMusic,games_video,12.0,2007.0,Burlingame,"{'type': 'Point', 'coordinates': [-122.3462137, 37.5768841]}",37.5768841,-122.3462137,0.0
10292,"{""$oid"": ""52cdef7e4bab8bd67529a5bf""}",Valu Valu,games_video,3.0,2008.0,Seattle,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}",47.6254784,-122.3564234,0.0
10293,"{""$oid"": ""52cdef7e4bab8bd67529a5c1""}",ninthCAFE,search,3.0,,"Noida, UP,","{'type': 'Point', 'coordinates': [77.3101855, 28.5827099]}",28.5827099,77.3101855,0.0
10294,"{""$oid"": ""52cdef7e4bab8bd67529a5c4""}",Djangoware,software,4.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10295,"{""$oid"": ""52cdef7e4bab8bd67529a5be""}",Refinery29,fashion,,2004.0,New York,"{'type': 'Point', 'coordinates': [-73.9508211, 40.7277189]}",40.7277189,-73.9508211,30400.0
10296,"{""$oid"": ""52cdef7e4bab8bd67529a5c5""}",BudURL,enterprise,7.0,2008.0,Austin,"{'type': 'Point', 'coordinates': [-97.790145, 30.44936]}",30.44936,-97.790145,0.0
10297,"{""$oid"": ""52cdef7e4bab8bd67529a5c8""}",IRMC (iQor),,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10298,"{""$oid"": ""52cdef7e4bab8bd67529a5c6""}",Dynamic Mobile Data,,,1994.0,Somerset,,Invalid lat long,Invalid lat long,0.0
10299,"{""$oid"": ""52cdef7e4bab8bd67529a5c2""}",Rival Schools,web,5.0,2007.0,NoCity,"{'type': 'Point', 'coordinates': [-123.1071489, 49.2638072]}",49.2638072,-123.1071489,0.0
10300,"{""$oid"": ""52cdef7e4bab8bd67529a5ca""}",Ridespring,software,,2005.0,Santa Cruz,,Invalid lat long,Invalid lat long,0.0
10301,"{""$oid"": ""52cdef7e4bab8bd67529a5cc""}",Crowd Gather,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10302,"{""$oid"": ""52cdef7e4bab8bd67529a5c9""}",Matter Network,cleantech,,2008.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.3985871, 37.7618242]}",37.7618242,-122.3985871,0.0
10303,"{""$oid"": ""52cdef7e4bab8bd67529a5c7""}",Air2Web,mobile,,1999.0,Atlanta,,Invalid lat long,Invalid lat long,25000.0
10304,"{""$oid"": ""52cdef7e4bab8bd67529a5c3""}",Commission Junction,advertising,500.0,1998.0,Santa Barbara,"{'type': 'Point', 'coordinates': [-119.6869294, 34.4205342]}",34.4205342,-119.6869294,0.0
10304,"{""$oid"": ""52cdef7e4bab8bd67529a5c3""}",Commission Junction,advertising,500.0,1998.0,San Francisco,,Invalid lat long,Invalid lat long,0.0
10304,"{""$oid"": ""52cdef7e4bab8bd67529a5c3""}",Commission Junction,advertising,500.0,1998.0,Westborough,"{'type': 'Point', 'coordinates': [-71.571196, 42.2893531]}",42.2893531,-71.571196,0.0
10304,"{""$oid"": ""52cdef7e4bab8bd67529a5c3""}",Commission Junction,advertising,500.0,1998.0,New York,"{'type': 'Point', 'coordinates': [-73.9765095, 40.7508577]}",40.7508577,-73.9765095,0.0
10304,"{""$oid"": ""52cdef7e4bab8bd67529a5c3""}",Commission Junction,advertising,500.0,1998.0,Unterhaching,,Invalid lat long,Invalid lat long,0.0
10305,"{""$oid"": ""52cdef7e4bab8bd67529a5cb""}",Garratt-Callahan,,,,Burlingame,,Invalid lat long,Invalid lat long,0.0
10306,"{""$oid"": ""52cdef7e4bab8bd67529a5c0""}",OwnerIQ,advertising,,2006.0,Boston,"{'type': 'Point', 'coordinates': [-71.0499948, 42.3472851]}",42.3472851,-71.0499948,28300.0
10306,"{""$oid"": ""52cdef7e4bab8bd67529a5c0""}",OwnerIQ,advertising,,2006.0,Mill Creek,"{'type': 'Point', 'coordinates': [-122.218976, 47.852479]}",47.852479,-122.218976,28300.0
10307,"{""$oid"": ""52cdef7e4bab8bd67529a5ce""}",v7n Network,web,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10308,"{""$oid"": ""52cdef7e4bab8bd67529a5cd""}",Social Knowledge,web,,2005.0,Dallas,,Invalid lat long,Invalid lat long,0.0
10309,"{""$oid"": ""52cdef7e4bab8bd67529a5d0""}",Decru,,,2001.0,Redwood City,,Invalid lat long,Invalid lat long,0.0
10310,"{""$oid"": ""52cdef7e4bab8bd67529a5d2""}",Zydeca Media Group,advertising,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10311,"{""$oid"": ""52cdef7e4bab8bd67529a5d4""}",Buzzup,web,1.0,2008.0,NoOffice,,Invalid lat long,Invalid lat long,0.0
10312,"{""$oid"": ""52cdef7e4bab8bd67529a5cf""}",Escalate Media,advertising,25.0,2004.0,Chicago,,Invalid lat long,Invalid lat long,0.0
10313,"{""$oid"": ""52cdef7e4bab8bd67529a5d3""}",Sprout - Growing Ideas,other,,1999.0,Nashville,"{'type': 'Point', 'coordinates': [-86.794246, 36.139428]}",36.139428,-86.794246,0.0
10314,"{""$oid"": ""52cdef7e4bab8bd67529a5d1""}",Real Pro Systems,advertising,36.0,2003.0,Eugene,,Invalid lat long,Invalid lat long,0.0
10315,"{""$oid"": ""52cdef7e4bab8bd67529a5d7""}",Avalnache! Entertainment,,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10316,"{""$oid"": ""52cdef7e4bab8bd67529a5d9""}",EyeT Communications GmbH (Modsite),,,,NoOffice,,Invalid lat long,Invalid lat long,0.0
10317,"{""$oid"": ""52cdef7e4bab8bd67529a5d5""}",MLB Advanced Media,web,600.0,2000.0,New York,"{'type': 'Point', 'coordinates': [-74.0047466, 40.7418877]}",40.7418877,-74.0047466,0.0
10318,"{""$oid"": ""52cdef7e4bab8bd67529a5d8""}",Eat Media,advertising,5.0,,Hastings-on-Hudson,"{'type': 'Point', 'coordinates': [-82.5734043, 27.4964623]}",27.4964623,-82.5734043,0.0
